provider_id,parent_account_id,provider_sales_id,vendor_name,country_code,business_segment_v2,provider_name,city_name,account_management_segment,gmv_eur,orders_n,provider_cm_l2_pct_gmv,country_cm_l2_pct_gmv,cm_l2_pp_above_country
142556,105699,100005037387,Torii,ua,SMB (AM Segment),Torii,Odesa,Missing AM Segment Trait,1750.8025074005127,56.0,7.441051853330308,2.3596736654725854,5.081378187857722
114474,81912,100005021889,ГАЛИЦЬКИЙ КУХОЛЬ,ua,SMB (AM Segment),ГАЛИЦЬКИЙ КУХОЛЬ В.Великого,Lviv,Missing AM Segment Trait,1745.6689910888672,147.0,6.284758534912318,2.3596736654725854,3.9250848694397327
125507,91150,50006090182,GRAND THEFT BURGER Vinnytsia,ua,SMB (AM Segment),GTB - Grand Theft Burger,Vinnytsia,Missing AM Segment Trait,1744.2233428955078,126.0,14.016288954871008,2.3596736654725854,11.656615289398424
165990,120455,50006579950,ONE SAY Kharkiv,ua,SMB (AM Segment),ONE DAY,Kharkiv,Missing AM Segment Trait,1740.5023803710938,0.0,9.060012749005475,2.3596736654725854,6.7003390835328895
90068,61573,100005007499,Валенсіа,ua,SMB (AM Segment),Валенсія,Vinnytsia,Missing AM Segment Trait,1729.3864364624023,103.0,4.01722927686956,2.3596736654725854,1.6575556113969743
73052,48909,82366710029,Ситий двіж,ua,SMB (AM Segment),Ситий двіж,Dnipro,Bronze (AM Segment),1729.2965545654297,164.0,10.491197053989882,2.3596736654725854,8.131523388517298
34953,24541,,Шаурма на Богдана  Хмельницького,ua,SMB (AM Segment),Шаурма на Богдана Хмельницького,Odesa,Bronze (AM Segment),1726.7665100097656,96.0,12.675839487159367,2.3596736654725854,10.31616582168678
27770,19690,,MAYAMY,ua,SMB (AM Segment),MAYAMY,Dnipro,Silver (AM Segment),1724.9183807373047,116.0,15.139277626776439,2.3596736654725854,12.779603961303852
130424,95533,100005031039,Javelin Food,ua,SMB (AM Segment),Javelin Food,Kharkiv,Missing AM Segment Trait,1719.7389297485352,140.0,10.32326615952209,2.3596736654725854,7.963592494049505
144301,107345,100005038405,Territory,ua,SMB (AM Segment),Territory,Dnipro,Missing AM Segment Trait,1717.7083129882812,126.0,12.321115115737937,2.3596736654725854,9.961441450265351
84096,56724,100005003566,Галушка,ua,SMB (AM Segment),Галушка,Kyiv,Missing AM Segment Trait,1712.487506866455,70.0,22.289612063619813,2.3596736654725854,19.92993839814723
79118,53011,77071170007,Kraftkebab,ua,SMB (AM Segment),Kraftkebab,Kyiv,Missing AM Segment Trait,1708.9212493896484,89.0,9.75480576317136,2.3596736654725854,7.395132097698775
34758,24396,7694313,BUDUSUSHI,ua,SMB (AM Segment),BUDUSUSHI,Kyiv,Silver (AM Segment),1707.9174327850342,42.0,11.107318213339168,2.3596736654725854,8.747644547866582
103590,72470,50005171148,MYASOBULKA Kharkiv,ua,SMB (AM Segment),Мʼясобулка,Kharkiv,Missing AM Segment Trait,1707.7191467285156,126.0,4.731821247470516,2.3596736654725854,2.3721475819979307
76187,50992,77067700007,Bonita burger,ua,SMB (AM Segment),Bonita burger Гетьманська,Kyiv,Bronze (AM Segment),1707.1456413269043,89.0,19.2815901204771,2.3596736654725854,16.921916455004517
73239,22363,5187060,Truffaldino — піца на дровах,ua,SMB (AM Segment),Truffaldino — піца на дровах,Lviv,Bronze (AM Segment),1703.6024017333984,126.0,13.292203279198356,2.3596736654725854,10.93252961372577
110126,78143,5133296,KOROLIVSKA PITSTSA SALTIVSKE SHOSSE Kharkiv,ua,SMB (AM Segment),КоролIвська пiцца,Kharkiv,Missing AM Segment Trait,1696.5003051757812,146.0,3.8873149586590774,2.3596736654725854,1.527641293186492
163195,83596,50006565363,Курултай,ua,SMB (AM Segment),Курултай,Ivano-Frankivsk,Missing AM Segment Trait,1675.0291748046875,89.0,18.76207974018643,2.3596736654725854,16.402406074713845
91718,62859,75861250116,Like Pizza,ua,SMB (AM Segment),Shoza pizza,Cherkasy,Missing AM Segment Trait,1666.340446472168,121.0,4.821305126823644,2.3596736654725854,2.4616314613510584
