brand_name_x,provider_id,city_name,account_manager_name,segment,gmv_feb_2026_eur,had_sponsored_listing,parent_account_id,parent_account_name,brand_name_y,group_name
Big Tasty,93197,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),828.84,No,63940.0,Big Tasty,BIG TASTY,BIG TASTY GROUP
ForRest Meat Club,118162,Lviv,Mykyta Maliarchuk,SMB (AM Segment),826.77,No,84976.0,FORREST MEAT CLUB Lviv,FORREST MEAT CLUB,FORREST MEAT CLUB GROUP
Pub Red Cat просп. Олександрівський,132207,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),821.53,No,94157.0,RED CAT Kharkiv,RED CAT,RED CAT GROUP
Parmesan,85490,Lviv,Sviatoslav Yurchuk,SMB (AM Segment),818.32,Yes,57890.0,Parmesan,PARMESAN CH,PARMESAN CH GROUP
BRUGGE,48944,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),817.48,No,33784.0,BRUGGE,BRUGGE,BRUGGE GROUP
WOK.SushiPoint Леся Курбаса,69603,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),815.58,No,46635.0,WOK.SushiPoint,WOK.SUSHIPOINT,WOK.SUSHIPOINT GROUP
Паштет Хрещатик,11258,Kyiv,Nataliia Klymas,SMB (AM Segment),812.53,No,8134.0,Moments group,PASHTET,MOMENTY GROUP
Юнітас,80852,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),808.27,No,54321.0,Юнітас ,YUNITAS,YUNITAS GROUP
Marti,104114,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),806.08,No,72921.0,MARTI Kharkiv,MARTI,MARTI GROUP
KOI,51891,Vinnytsia,Stefaniia Oznobishyna,SMB (AM Segment),805.19,No,35729.0,KOI,KOI,KOI GROUP
VINNYTSIA FOOD MARKET,65801,Vinnytsia,Stefaniia Oznobishyna,SMB (AM Segment),795.08,No,44347.0,VINNYTSIA FOOD MARKET,VINNYTSIA FOOD MARKET,VINNYTSIA FOOD MARKET GROUP
Beijing Style,11214,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),794.05,No,8103.0,Beijing Style,BEIJING STYLE,BEIJING STYLE GROUP
SpicyNoSpicy,8937,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),793.98,Yes,6447.0,SpicyNoSpicy,SPICYNOSPICY,SPICYNOSPICY GROUP
